#;Instance;# Jobs;# Resources;Project time horizon;Heuristic makespan;Execution time (s);Par;Number;UB makespan;Heuristic Increase;Heuristic % increase
0;j6010_10.sm;62;4;320;75;0,060417891;10;10;73;2;2,739726027
1;j6010_1.sm;62;4;324;85;0,073221922;10;1;85;0;0
2;j6010_2.sm;62;4;354;68;0,063014507;10;2;62;6;9,677419355
3;j6010_3.sm;62;4;354;80;0,063323259;10;3;72;8;11,11111111
4;j6010_4.sm;62;4;331;84;0,064970493;10;4;80;4;5
5;j6010_5.sm;62;4;378;83;0,062857866;10;5;79;4;5,063291139
6;j6010_6.sm;62;4;323;75;0,059733629;10;6;67;8;11,94029851
7;j6010_7.sm;62;4;347;77;0,067373753;10;7;69;8;11,5942029
8;j6010_8.sm;62;4;304;70;0,062075615;10;8;65;5;7,692307692
9;j6010_9.sm;62;4;359;79;0,067836285;10;9;73;6;8,219178082
10;j601_10.sm;62;4;355;87;0,042940617;1;10;80;7;8,75
11;j6011_10.sm;62;4;308;59;0,056948185;11;10;58;1;1,724137931
12;j6011_1.sm;62;4;367;71;0,060889721;11;1;71;0;0
13;j6011_2.sm;62;4;322;63;0,055501938;11;2;61;2;3,278688525
14;j6011_3.sm;62;4;345;77;0,058655024;11;3;76;1;1,315789474
15;j6011_4.sm;62;4;330;70;0,058109999;11;4;69;1;1,449275362
16;j6011_5.sm;62;4;352;65;0,056945562;11;5;65;0;0
17;j6011_6.sm;62;4;332;72;0,056146622;11;6;70;2;2,857142857
18;j6011_7.sm;62;4;354;70;0,056804657;11;7;70;0;0
19;j6011_8.sm;62;4;359;69;0,057162046;11;8;69;0;0
20;j6011_9.sm;62;4;324;64;0,058205605;11;9;62;2;3,225806452
21;j601_1.sm;62;4;330;86;0,043223858;1;1;77;9;11,68831169
22;j6012_10.sm;62;4;343;79;0,053431511;12;10;79;0;0
23;j6012_1.sm;62;4;332;59;0,049033642;12;1;59;0;0
24;j6012_2.sm;62;4;288;58;0,050878525;12;2;58;0;0
25;j6012_3.sm;62;4;346;75;0,052036762;12;3;75;0;0
26;j6012_4.sm;62;4;343;69;0,051179409;12;4;69;0;0
27;j6012_5.sm;62;4;328;63;0,050934553;12;5;63;0;0
28;j6012_6.sm;62;4;330;54;0,050837278;12;6;54;0;0
29;j6012_7.sm;62;4;350;71;0,049993515;12;7;71;0;0
30;j6012_8.sm;62;4;303;60;0,050124168;12;8;60;0;0
31;j6012_9.sm;62;4;340;59;0,050406933;12;9;59;0;0
32;j601_2.sm;62;4;345;72;0,043764114;1;2;68;4;5,882352941
33;j6013_10.sm;62;4;355;140;0,104536772;13;10;117;23;19,65811966
34;j6013_1.sm;62;4;341;139;0,111181736;13;1;112;27;24,10714286
35;j6013_2.sm;62;4;313;137;0,113521814;13;2;106;31;29,24528302
36;j6013_3.sm;62;4;332;116;0,10073328;13;3;88;28;31,81818182
37;j6013_4.sm;62;4;361;129;0,100086689;13;4;103;26;25,24271845
38;j6013_5.sm;62;4;331;126;0,105291367;13;5;97;29;29,89690722
39;j6013_6.sm;62;4;325;118;0,100687742;13;6;94;24;25,53191489
40;j6013_7.sm;62;4;320;109;0,110164881;13;7;87;22;25,28735632
41;j6013_8.sm;62;4;345;147;0,104130745;13;8;120;27;22,5
42;j6013_9.sm;62;4;350;132;0,097077608;13;9;102;30;29,41176471
43;j601_3.sm;62;4;317;75;0,049964905;1;3;68;7;10,29411765
44;j6014_10.sm;62;4;372;83;0,073348522;14;10;72;11;15,27777778
45;j6014_1.sm;62;4;333;68;0,077693462;14;1;61;7;11,47540984
46;j6014_2.sm;62;4;336;68;0,074799776;14;2;65;3;4,615384615
