,instance,optimum_makespan,matheus_makespan,matheus_time,belen_makespan,belen_time,combined_makespan,combined_time
0,j601_1.sm,77,86.0,"0,043223858",100,0.01442408561706543,94,0.006416797637939453
0,j601_2.sm,68,72.0,"0,043764114",92,0.015082120895385742,88,0.006359100341796875
0,j601_3.sm,68,75.0,"0,049964905",90,0.018197059631347656,87,0.005694866180419922
0,j601_4.sm,91,96.0,"0,04239893",110,0.011729955673217773,107,0.0058841705322265625
0,j601_5.sm,73,83.0,"0,043375254",105,0.014119148254394531,98,0.006006956100463867
0,j601_6.sm,66,78.0,"0,046977997",81,0.017062902450561523,70,0.005749940872192383
0,j601_7.sm,72,80.0,"0,045510054",105,0.015367984771728516,85,0.005767107009887695
0,j601_8.sm,75,84.0,"0,042615652",105,0.014495849609375,95,0.0062410831451416016
0,j601_9.sm,85,92.0,"0,042284727",117,0.01285409927368164,103,0.006066083908081055
0,j601_10.sm,80,87.0,"0,042940617",101,0.012517929077148438,102,0.006243228912353516
0,j602_1.sm,65,65.0,"0,040718079",76,0.01207423210144043,79,0.005833148956298828
0,j602_2.sm,82,84.0,"0,044095039",105,0.011461019515991211,99,0.0061419010162353516
0,j602_3.sm,78,78.0,"0,042016745",99,0.012061119079589844,89,0.006109952926635742
0,j602_4.sm,78,82.0,"0,042143345",102,0.011499166488647461,94,0.0060808658599853516
0,j602_5.sm,54,61.0,"0,039539099",72,0.011382102966308594,69,0.005705118179321289
0,j602_6.sm,64,67.0,"0,040646791",85,0.012391805648803711,73,0.005738973617553711
0,j602_7.sm,53,54.0,"0,03899169",62,0.01217198371887207,63,0.005657196044921875
0,j602_8.sm,66,72.0,"0,041395187",85,0.012598991394042969,82,0.005733013153076172
0,j602_9.sm,65,69.0,"0,042497873",84,0.012572050094604492,81,0.006515026092529297
0,j602_10.sm,69,73.0,"0,04015398",83,0.011645793914794922,83,0.005908012390136719
0,j603_1.sm,60,60.0,"0,038842201",76,0.011087179183959961,71,0.005921125411987305
0,j603_2.sm,69,69.0,"0,040388346",79,0.011729955673217773,80,0.005937337875366211
0,j603_3.sm,105,105.0,"0,041847944",122,0.010787248611450195,116,0.0064008235931396484
0,j603_4.sm,81,83.0,"0,040477276",108,0.010757923126220703,96,0.006701231002807617
0,j603_5.sm,83,84.0,"0,040587425",99,0.010881900787353516,97,0.006485939025878906
0,j603_6.sm,57,59.0,"0,048646212",69,0.01201772689819336,67,0.0058231353759765625
0,j603_7.sm,59,59.0,"0,039280891",69,0.011209964752197266,69,0.005700111389160156
0,j603_8.sm,55,57.0,"0,039965153",77,0.011356830596923828,65,0.005917072296142578
0,j603_9.sm,67,67.0,"0,039272308",78,0.010828018188476562,76,0.006279945373535156
0,j603_10.sm,69,72.0,"0,039384127",82,0.01110696792602539,81,0.00631403923034668
0,j604_1.sm,84,84.0,"0,040731668",96,0.009921073913574219,95,0.006227254867553711
0,j604_2.sm,60,60.0,"0,037371397",74,0.009657144546508789,73,0.006041049957275391
0,j604_3.sm,58,58.0,"0,037233114",67,0.009686946868896484,66,0.006039142608642578
0,j604_4.sm,65,65.0,"0,038864851",76,0.01005411148071289,75,0.006269931793212891
0,j604_5.sm,75,75.0,"0,039102077",87,0.010029077529907227,86,0.006500959396362305
0,j604_6.sm,71,71.0,"0,040725946",82,0.010094165802001953,81,0.0060389041900634766
0,j604_7.sm,67,67.0,"0,038646936",78,0.009639263153076172,77,0.005897998809814453
0,j604_8.sm,65,65.0,"0,039186001",77,0.009576082229614258,76,0.006103992462158203
0,j604_9.sm,75,75.0,"0,039930582",87,0.00962376594543457,86,0.006090879440307617
0,j604_10.sm,77,77.0,"0,0410285",93,0.010505914688110352,89,0.00643610954284668
0,j605_1.sm,76,103.0,"0,062187195",117,0.02332305908203125,87,0.006300926208496094
0,j605_2.sm,106,137.0,"0,060129642",152,0.01760101318359375,121,0.006988048553466797
0,j605_3.sm,80,99.0,"0,063379049",128,0.021552085876464844,90,0.006204843521118164
0,j605_4.sm,72,93.0,"0,056010008",98,0.021277904510498047,83,0.005915164947509766
0,j605_5.sm,108,132.0,"0,056034088",145,0.01698899269104004,144,0.007894039154052734
0,j605_6.sm,74,94.0,"0,059038877",138,0.01933121681213379,92,0.006234884262084961
0,j605_7.sm,75,92.0,"0,055399895",120,0.01848125457763672,78,0.006023883819580078
0,j605_8.sm,78,98.0,"0,062824726",110,0.021619796752929688,93,0.00629115104675293
0,j605_9.sm,83,97.0,"0,060385227",114,0.025349855422973633,106,0.0067708492279052734
0,j605_10.sm,81,98.0,"0,071307421",134,0.022047042846679688,106,0.006541013717651367
0,j606_1.sm,60,74.0,"0,062462091",78,0.016906023025512695,72,0.006530046463012695
0,j606_2.sm,67,75.0,"0,050264597",95,0.01503896713256836,84,0.006673097610473633
0,j606_3.sm,72,75.0,"0,05053997",88,0.01717209815979004,90,0.0065059661865234375
0,j606_4.sm,67,69.0,"0,054763794",86,0.018192052841186523,81,0.0065898895263671875
0,j606_5.sm,78,86.0,"0,052432299",102,0.014087915420532227,94,0.0071010589599609375
